gene,avg cluster stat sig,most stat sig cluster,#species in most sig cluster,least stat sig cluster,avg # species per cluster
PFN1,0.306,0.1239,42,0.4743,76.33333333333333
ZNF804A,0.393,0.3245,104,0.4327,64.75
IRAK3,0.442,0.3398,61,0.4945,68.5
INO80B,0.419,0.3071,23,0.4774,83.33333333333333
SIVA1,0.398,0.2903,90,0.4824,72.25
DACH1,0.424,0.3487,48,0.4758,72.0
ZNF100,0.318,0.0395,1,0.5,104.75
CBY1,0.428,0.4195,158,0.4366,184.5
ZC3H11A,0.384,0.2818,46,0.4857,116.5
HINFP,0.386,0.3143,110,0.4973,79.5
ANKZF1,0.355,0.2707,73,0.491,63.5
ZNF254,0.341,0.0305,1,0.5,86.33333333333333
NFAT5,0.403,0.3602,114,0.4507,88.0
MAPK7,0.415,0.397,74,0.4338,116.5
MTF1,0.364,0.1534,52,0.4973,57.8
CXXC4,0.417,0.2933,16,0.5,43.0
SGF29,0.48,0.4634,37,0.4973,115.5
ZNF541,0.302,0.1876,64,0.4173,106.0
SSH2,0.424,0.3077,106,0.489,72.25
H2AZ1,0.397,0.2943,26,0.5,112.5
CUL3,0.482,0.4671,94,0.4973,147.5
MKRN1,0.499,0.4973,81,0.5,136.5
TRIP4,0.468,0.4377,59,0.4973,119.5
MBD3L3,0.404,0.3383,53,0.4778,61.666666666666664
DHX9,0.419,0.3564,49,0.4808,118.5
TFAP2E,0.435,0.3692,83,0.476,55.75
POLR2L,0.324,0.1649,50,0.4304,47.6
IRF9,0.417,0.4073,177,0.4273,177.0
ZNF615,0.498,0.4958,155,0.5,153.0
HMGXB3,0.435,0.387,46,0.4643,142.33333333333334
HEYL,0.475,0.453,42,0.4973,114.5
POU6F2,0.489,0.4785,59,0.5,118.5
ZBTB8B,0.327,0.2613,54,0.4056,53.0
TCF23,0.345,0.2813,81,0.4084,118.5
TRIM68,0.348,0.0351,29,0.4929,48.0
ZNF446,0.326,0.1583,81,0.4539,99.75
YLPM1,0.476,0.4543,54,0.4971,116.5
RBBP8,0.455,0.4198,47,0.5,91.66666666666667
FOXD2,0.376,0.1558,38,0.5,46.8
RELA,0.466,0.443,115,0.4888,145.0
ZNF821,0.42,0.3102,107,0.4888,92.0
SIRT5,0.443,0.4128,166,0.4726,180.0
DBP,0.398,0.3053,23,0.478,123.66666666666667
CEBPG,0.361,0.2859,49,0.4674,58.6
RPTOR,0.495,0.4892,72,0.5,126.5
HDAC3,0.446,0.4317,68,0.4603,125.5
PYCARD,0.365,0.3387,87,0.3956,81.75
DUXA,0.367,0.2143,23,0.4534,52.25
TGIF1,0.5,0.5,140,0.5,177.5
DMRTC2,0.453,0.419,53,0.4878,127.5
ZSCAN1,0.295,0.215,25,0.3747,38.5
TBL1XR1,0.473,0.4453,21,0.5,115.5
CIDEA,0.493,0.4854,50,0.5,111.5
DYRK1B,0.464,0.4277,32,0.5,115.5
GTF2H4,0.418,0.3413,29,0.4946,115.0
ETV2,0.432,0.3345,138,0.484,170.75
ZNF502,0.484,0.4747,94,0.4937,134.5
HOXD13,0.317,0.1607,59,0.4731,76.0
DMBX1,0.314,0.1223,44,0.4156,55.0
IRX5,0.383,0.35,96,0.4034,77.33333333333333
SSBP2,0.441,0.3807,27,0.4946,67.75
ESRRB,0.458,0.3968,91,0.4973,146.33333333333334
CHEK2,0.423,0.3915,157,0.4644,146.33333333333334
CTDSP1,0.443,0.4398,172,0.4453,183.0
ZNF648,0.394,0.2108,41,0.4857,82.6
SMARCA4,0.484,0.4677,84,0.5,131.0
ZNF28,0.488,0.4854,172,0.4912,154.5
MYBBP1A,0.343,0.1599,63,0.4973,67.75
AURKB,0.403,0.3428,117,0.4544,126.75
ZNF143,0.473,0.4463,42,0.5,117.0
TAF1D,0.326,0.2586,85,0.3937,118.0
LYL1,0.298,0.2121,70,0.3847,109.5
ZNF780B,0.407,0.2708,43,0.4616,87.4
MAP2K5,0.472,0.4463,67,0.4973,126.0
RHOXF2B,0.328,0.2091,32,0.4463,69.0
PRAMEF9,0.29,0.0138,1,0.4429,81.5
MDM4,0.427,0.4182,47,0.4344,131.33333333333334
HOXB1,0.325,0.1236,49,0.4365,88.66666666666667
JADE3,0.42,0.3444,36,0.4959,112.5
RPAP2,0.391,0.3123,74,0.4694,120.5
ZNF217,0.333,0.1581,47,0.5,57.25
ZBTB41,0.448,0.4019,33,0.4943,113.5
KMT2B,0.376,0.1894,2,0.4973,47.0
GSC2,0.38,0.3584,98,0.4012,101.0
NIBAN2,0.44,0.3939,68,0.4864,122.0
ZXDA,0.295,0.1186,24,0.4723,68.5
PTF1A,0.342,0.1508,51,0.5,56.5
KLHL5,0.459,0.4398,188,0.478,195.0
LHX1,0.333,0.1239,39,0.4905,67.25
TET3,0.333,0.0154,2,0.4731,64.5
HNRNPD,0.467,0.4415,62,0.4932,125.5
RNF25,0.373,0.2901,39,0.4225,66.0
LDOC1,0.333,0.2947,66,0.3937,62.75
TRIM35,0.356,0.2846,81,0.4275,110.5
CERS2,0.472,0.4176,37,0.5,144.66666666666666
MEIS2,0.489,0.4616,59,0.5,148.0
TBX21,0.366,0.2415,21,0.4582,47.6
DPPA4,0.314,0.1599,24,0.4677,104.0
CTNNBIP1,0.364,0.2764,49,0.4384,56.6
NAA15,0.446,0.3968,48,0.4945,121.5
ASCC3,0.462,0.4367,41,0.4959,64.5
ZBED6,0.442,0.4238,135,0.4597,118.5
ZNF92,0.413,0.2963,58,0.5,113.66666666666667
ZNF862,0.343,0.2433,79,0.483,80.0
OLIG2,0.369,0.2532,42,0.4463,60.75
MEF2D,0.345,0.13,43,0.4785,60.8
ACTN2,0.497,0.4943,82,0.5,130.0
ZNF629,0.32,0.2103,43,0.4182,76.33333333333333
BEX1,0.379,0.283,63,0.48,127.0
KLF3,0.412,0.3413,15,0.4593,83.33333333333333
ZNF57,0.476,0.4523,116,0.5,116.5
TAF8,0.481,0.4671,194,0.4945,196.0
BTBD3,0.426,0.4176,77,0.4345,124.0
BRMS1,0.496,0.489,198,0.5,146.33333333333334
TSHZ2,0.414,0.2413,117,0.4849,86.6
PARP15,0.416,0.3539,35,0.4791,57.0
LYAR,0.348,0.2824,88,0.4137,122.0
ZNF563,0.361,0.0772,2,0.4931,69.0
HINT1,0.458,0.4225,70,0.4946,91.75
CTNND2,0.452,0.3968,59,0.4959,97.2
NOBOX,0.38,0.2301,76,0.4887,92.6
CNOT3,0.418,0.3926,25,0.4377,72.5
KDM4B,0.347,0.1874,61,0.4632,82.33333333333333
JRKL,0.463,0.448,150,0.478,125.5
ZNF268,0.41,0.3488,83,0.4781,69.33333333333333
