gene type,gene type cramer v,lifespan bin,bin cramer v,cramer v difference,# species in bin
BIRC2,0.36730938954988895,(0-15),0.3382166518382676,-0.029092737711621353,87
BIRC2,0.36730938954988895,(15-30),0.39359393504895906,0.02628454549907011,124
BIRC2,0.36730938954988895,(30-60),0.4092561028651419,0.04194671331525296,80
BIRC2,0.36730938954988895,(60-100),0.47439997655233596,0.107090587002447,13
BIRC2,0.36730938954988895,(100-250),0.0,-0.36730938954988895,3
GBX2,0.8523113306624072,(0-15),0.8173134618315288,-0.03499786883087841,79
GBX2,0.8523113306624072,(15-30),0.8248877009350208,-0.027423629727386323,114
GBX2,0.8523113306624072,(30-60),0.9293122040874593,0.07700087342505213,75
GBX2,0.8523113306624072,(60-100),0.0,-0.8523113306624072,11
GBX2,0.8523113306624072,(100-250),0.0,-0.8523113306624072,2
ZNF550,0.28457077682168724,(0-15),0.28066229235476353,-0.003908484466923712,51
ZNF550,0.28457077682168724,(15-30),0.2926490240376523,0.008078247215965062,134
ZNF550,0.28457077682168724,(30-60),0.26723142978761116,-0.01733934703407608,84
ZNF550,0.28457077682168724,(60-100),0.495326281555104,0.21075550473341675,13
ZNF550,0.28457077682168724,(100-250),0.0,-0.28457077682168724,3
ZNF852,0.5206677899378752,(0-15),0.49507461976646516,-0.02559317017141005,37
ZNF852,0.5206677899378752,(15-30),0.5103370372268983,-0.010330752710976943,114
ZNF852,0.5206677899378752,(30-60),0.5682413881059256,0.0475735981680504,75
ZNF852,0.5206677899378752,(60-100),0.0,-0.5206677899378752,11
ZNF852,0.5206677899378752,(100-250),0.0,-0.5206677899378752,3
SUMO1,0.9065206272811208,(0-15),0.9487873121982752,0.04226668491715435,86
SUMO1,0.9065206272811208,(15-30),0.9074752556047092,0.0009546283235883912,133
SUMO1,0.9065206272811208,(30-60),0.9106695886267376,0.0041489613456168195,84
SUMO1,0.9065206272811208,(60-100),0.0,-0.9065206272811208,13
SUMO1,0.9065206272811208,(100-250),0.0,-0.9065206272811208,3
CEBPB,0.7683397168961268,(0-15),0.7586300550808361,-0.009709661815290649,59
CEBPB,0.7683397168961268,(15-30),0.7918644796106488,0.023524762714521974,99
CEBPB,0.7683397168961268,(30-60),0.7815892076739377,0.013249490777810902,72
CEBPB,0.7683397168961268,(60-100),0.0,-0.7683397168961268,11
CEBPB,0.7683397168961268,(100-250),0.0,-0.7683397168961268,2
RREB1,0.6901475401101946,(0-15),0.6474826359088014,-0.04266490420139324,87
RREB1,0.6901475401101946,(15-30),0.7047094056140086,0.014561865503813998,128
RREB1,0.6901475401101946,(30-60),0.7371934112747246,0.04704587116452996,77
RREB1,0.6901475401101946,(60-100),0.0,-0.6901475401101946,12
RREB1,0.6901475401101946,(100-250),0.0,-0.6901475401101946,2
IER2,0.7553576582426932,(0-15),0.6450730874376838,-0.11028457080500942,79
IER2,0.7553576582426932,(15-30),0.7851461759703868,0.029788517727693642,133
IER2,0.7553576582426932,(30-60),0.8454858755565349,0.09012821731384169,81
