gene type,set mean lifespan,set std dev,set iqr bounds,cluster,cluster mean lifespan,cluster std dev,cluster iqr,cluster iqr bounds,#points in cluster,#species in cluster,modified z-score,statistical significance
PFN1,27.417539267015705,21.137758855710683,15-35,cluster0,23.8,14,17.55,14-32,315,181,-0.06,0.4743
PFN1,27.417539267015705,21.137758855710683,15-35,cluster1,46.1,37,41.0,20-60,59,42,1.16,0.1239
PFN1,27.417539267015705,21.137758855710683,15-35,cluster2,30.8,11,5.199999999999999,27-32,8,6,0.47,0.3188
ZNF804A,27.599999999999998,20.871569079332136,15-36,cluster0,28.3,19,15.95,15-31,51,45,0.19,0.4249
ZNF804A,27.599999999999998,20.871569079332136,15-36,cluster1,32.5,20,20.35,20-40,163,104,0.46,0.3245
ZNF804A,27.599999999999998,20.871569079332136,15-36,cluster2,22.3,10,13.649999999999999,17-31,14,10,-0.17,0.4327
ZNF804A,27.599999999999998,20.871569079332136,15-36,cluster3,22.8,21,19.775000000000002,7-27,156,100,-0.28,0.3914
IRAK3,27.518851435705372,21.012251504480467,15-36,cluster0,20.0,15,18.525000000000002,9-27,158,61,-0.41,0.3398
IRAK3,27.518851435705372,21.012251504480467,15-36,cluster1,29.8,23,21.900000000000002,17-39,479,141,0.14,0.4453
IRAK3,27.518851435705372,21.012251504480467,15-36,cluster2,29.6,21,15.525000000000002,18-34,120,48,0.01,0.4945
IRAK3,27.518851435705372,21.012251504480467,15-36,cluster3,23.8,13,15.975,15-31,44,24,-0.02,0.4904
INO80B,27.120671834625323,20.541870936313032,15-35,cluster0,24.9,16,22.299999999999997,13-35,201,120,-0.07,0.4717
INO80B,27.120671834625323,20.541870936313032,15-35,cluster1,31.0,25,16.700000000000003,18-35,159,107,0.06,0.4774
INO80B,27.120671834625323,20.541870936313032,15-35,cluster2,20.8,16,19.299999999999997,6-26,27,23,-0.5,0.3071
SIVA1,27.610471204188485,21.08532082345982,15-36,cluster0,34.1,25,19.5,20-40,278,98,0.27,0.3918
SIVA1,27.610471204188485,21.08532082345982,15-36,cluster1,20.4,16,24.0,6-30,237,90,-0.55,0.2903
SIVA1,27.610471204188485,21.08532082345982,15-36,cluster2,27.7,23,22.125,12-34,64,32,-0.18,0.4287
SIVA1,27.610471204188485,21.08532082345982,15-36,cluster3,27.2,15,18.700000000000003,17-36,185,69,-0.04,0.4824
DACH1,27.57422497785651,19.077332250574482,14-37,cluster0,29.7,18,23.1,16-39,230,48,0.39,0.3487
DACH1,27.57422497785651,19.077332250574482,14-37,cluster1,26.8,20,22.200000000000003,14-36,766,127,-0.06,0.4758
DACH1,27.57422497785651,19.077332250574482,14-37,cluster2,28.1,15,19.9,17-37,133,41,0.13,0.4468
ZNF100,31.775333004440057,14.821393933444696,21-40,cluster0,29.8,14,18.099999999999998,19-37,4371,173,-0.18,0.4303
ZNF100,31.775333004440057,14.821393933444696,21-40,cluster1,30.9,15,17.5,20-38,2172,149,0.0,0.5
ZNF100,31.775333004440057,14.821393933444696,21-40,cluster2,37.2,14,19.0,27-46,1451,96,0.51,0.304
ZNF100,31.775333004440057,14.821393933444696,21-40,cluster3,55.0,0,0.0,55-55,114,1,1.76,0.0395
CBY1,26.921358024691358,20.58553550991188,14-35,cluster0,24.6,23,16.85,12-28,272,158,-0.2,0.4195
CBY1,26.921358024691358,20.58553550991188,14-35,cluster1,28.1,19,19.999999999999996,17-37,538,211,0.16,0.4366
