gene type,set mean lifespan,set std dev,set iqr,cluster,cluster mean lifespan,cluster std dev,cluster iqr,iqr bounds,#points in cluster,#species in cluster,z-score,statistical significance,modified z-score
PFN1,27.417539267015705,21.137758855710683,20.575,cluster0,23.9,14,17.575000000000003,"(14.0, 31.575000000000003)",314,181,-2.96,0.002,-0.06
PFN1,27.417539267015705,21.137758855710683,20.575,cluster1,43.7,35,37.0,"(19.0, 56.0)",68,48,6.35,0.0,0.8
ZNF804A,27.599999999999998,20.871569079332136,21.224999999999994,cluster0,22.3,10,13.649999999999999,"(17.35, 31.0)",14,10,-0.95,0.171,-0.17
ZNF804A,27.599999999999998,20.871569079332136,21.224999999999994,cluster1,28.3,19,15.95,"(15.45, 31.4)",51,45,0.25,0.403,0.19
ZNF804A,27.599999999999998,20.871569079332136,21.224999999999994,cluster2,32.5,20,20.35,"(19.65, 40.0)",163,104,2.97,0.001,0.46
ZNF804A,27.599999999999998,20.871569079332136,21.224999999999994,cluster3,22.8,21,19.775000000000002,"(6.925, 26.700000000000003)",156,100,-2.9,0.002,-0.28
IRAK3,27.518851435705372,21.012251504480467,20.7,cluster0,27.7,22,22.799999999999997,"(14.0, 36.8)",616,176,0.18,0.429,0.0
IRAK3,27.518851435705372,21.012251504480467,20.7,cluster1,27.0,19,16.5,"(17.0, 33.5)",185,76,-0.33,0.372,-0.03
INO80B,27.120671834625323,20.541870936313032,20.150000000000002,cluster0,50.8,34,35.75,"(27.25, 63.0)",51,36,8.24,0.0,1.63
INO80B,27.120671834625323,20.541870936313032,20.150000000000002,cluster1,25.8,16,22.200000000000003,"(14.0, 36.2)",181,109,-0.84,0.2,0.05
INO80B,27.120671834625323,20.541870936313032,20.150000000000002,cluster2,20.8,16,19.299999999999997,"(6.35, 25.65)",27,23,-1.59,0.056,-0.5
INO80B,27.120671834625323,20.541870936313032,20.150000000000002,cluster3,20.8,10,13.125,"(14.0, 27.125)",128,88,-3.47,0.0,-0.16
SIVA1,27.610471204188485,21.08532082345982,20.9,cluster0,27.6,21,20.6,"(15.4, 36.0)",700,197,-0.02,0.494,0.0
SIVA1,27.610471204188485,21.08532082345982,20.9,cluster1,27.7,23,22.125,"(11.85, 33.975)",64,32,0.05,0.48,-0.18
DACH1,27.57422497785651,19.077332250574482,23.299999999999997,cluster0,29.4,18,24.2,"(14.8, 39.0)",234,49,1.49,0.068,0.39
DACH1,27.57422497785651,19.077332250574482,23.299999999999997,cluster1,27.0,20,22.4,"(13.5, 35.9)",765,128,-0.88,0.189,-0.06
DACH1,27.57422497785651,19.077332250574482,23.299999999999997,cluster2,27.8,15,17.75,"(17.549999999999997, 35.3)",130,41,0.14,0.443,0.11
ZNF100,31.775333004440057,14.821393933444696,19.4,cluster0,29.8,15,18.699999999999996,"(18.6, 37.3)",3008,170,-7.24,0.0,-0.07
ZNF100,31.775333004440057,14.821393933444696,19.4,cluster1,32.9,15,18.4,"(22.0, 40.4)",5100,168,5.56,0.0,0.01
CBY1,26.921358024691358,20.58553550991188,20.4,cluster0,28.1,19,19.999999999999996,"(16.8, 36.8)",538,211,1.34,0.09,0.16
CBY1,26.921358024691358,20.58553550991188,20.4,cluster1,24.6,23,16.85,"(11.649999999999999, 28.5)",272,158,-1.88,0.03,-0.2
ZC3H11A,27.35025125628141,21.22025763528154,20.175,cluster0,28.7,22,19.250000000000004,"(16.95, 36.2)",340,187,1.19,0.117,0.04
ZC3H11A,27.35025125628141,21.22025763528154,20.175,cluster1,19.3,16,19.6,"(6.0, 25.6)",58,46,-2.89,0.002,-0.58
HINFP,27.040959409594095,20.531043487387805,20.6,cluster0,34.8,26,28.6,"(17.4, 46.0)",314,110,6.7,0.0,0.48
HINFP,27.040959409594095,20.531043487387805,20.6,cluster1,18.2,13,19.475,"(6.4, 25.875)",218,101,-6.37,0.0,-0.42
HINFP,27.040959409594095,20.531043487387805,20.6,cluster2,25.0,11,12.5,"(18.0, 30.5)",245,88,-1.58,0.057,0.01
HINFP,27.040959409594095,20.531043487387805,20.6,cluster3,27.1,27,22.375,"(7.7, 30.075)",36,19,0.01,0.495,-0.39
ANKZF1,24.225745257452573,14.894498485991342,18.299999999999997,cluster0,20.0,18,19.1,"(6.699999999999999, 25.8)",46,37,-1.94,0.026,-0.59
ANKZF1,24.225745257452573,14.894498485991342,18.299999999999997,cluster1,31.6,14,19.85,"(20.15, 40.0)",111,76,5.21,0.0,0.67
ANKZF1,24.225745257452573,14.894498485991342,18.299999999999997,cluster2,22.9,9,9.774999999999999,"(17.3, 27.075)",104,67,-0.92,0.178,0.01
ANKZF1,24.225745257452573,14.894498485991342,18.299999999999997,cluster3,18.8,16,17.575000000000003,"(6.375, 23.950000000000003)",96,66,-3.6,0.0,-0.47
ANKZF1,24.225745257452573,14.894498485991342,18.299999999999997,cluster4,27.9,16,23.075000000000006,"(16.45, 39.525000000000006)",12,10,0.85,0.197,0.21
ZNF254,32.680728974264255,13.724431014064995,17.599999999999998,cluster0,32.1,14,19.1,"(20.9, 40.0)",2868,139,-2.14,0.016,0.0
ZNF254,32.680728974264255,13.724431014064995,17.599999999999998,cluster1,35.2,13,19.1,"(25.0, 44.1)",2567,82,9.12,0.0,0.17
ZNF254,32.680728974264255,13.724431014064995,17.599999999999998,cluster2,30.9,14,17.8,"(21.2, 39.0)",2686,134,-6.7,0.0,0.0
NFAT5,27.121651221566978,20.52601024347531,20.599999999999998,cluster0,20.6,14,19.1,"(8.4, 27.5)",443,102,-6.72,0.0,-0.26
NFAT5,27.121651221566978,20.52601024347531,20.599999999999998,cluster1,20.9,13,14.9,"(12.1, 27.0)",73,25,-2.58,0.005,-0.12
NFAT5,27.121651221566978,20.52601024347531,20.599999999999998,cluster2,33.3,24,23.3,"(19.2, 42.5)",509,113,6.83,0.0,0.39
NFAT5,27.121651221566978,20.52601024347531,20.599999999999998,cluster3,28.3,21,21.174999999999997,"(14.125, 35.3)",162,49,0.74,0.229,0.04
MAPK7,26.116735822959892,18.210964714099504,21.0,cluster0,33.8,22,20.55,"(20.55, 41.1)",199,74,5.97,0.0,0.26
MAPK7,26.116735822959892,18.210964714099504,21.0,cluster1,23.2,15,19.3,"(12.0, 31.3)",524,159,-3.68,0.0,-0.17
MTF1,27.23995098039216,21.024033796025456,20.375,cluster0,30.0,22,18.05,"(17.325, 35.375)",142,94,1.58,0.057,0.01
MTF1,27.23995098039216,21.024033796025456,20.375,cluster1,37.0,44,22.400000000000002,"(13.575, 35.975)",26,25,2.37,0.009,-0.19
MTF1,27.23995098039216,21.024033796025456,20.375,cluster2,33.2,16,20.1,"(21.9, 42.0)",99,69,2.81,0.002,0.52
MTF1,27.23995098039216,21.024033796025456,20.375,cluster3,25.6,9,13.325000000000003,"(18.349999999999998, 31.675)",68,49,-0.66,0.256,0.14
MTF1,27.23995098039216,21.024033796025456,20.375,cluster4,11.9,11,9.600000000000001,"(5.2, 14.8)",73,52,-6.25,0.0,-1.02
CXXC4,26.99754385964912,18.78021993039595,21.6,cluster0,15.2,14,18.075000000000003,"(4.85, 22.925)",58,44,-4.77,0.0,-0.84
CXXC4,26.99754385964912,18.78021993039595,21.6,cluster1,25.2,10,11.850000000000001,"(18.15, 30.0)",72,54,-0.8,0.213,0.02
CXXC4,26.99754385964912,18.78021993039595,21.6,cluster2,27.8,15,23.425,"(14.575, 38.0)",42,32,0.28,0.39,0.48
CXXC4,26.99754385964912,18.78021993039595,21.6,cluster3,35.0,23,27.349999999999998,"(20.2, 47.55)",103,78,4.34,0.0,0.28
CXXC4,26.99754385964912,18.78021993039595,21.6,cluster4,21.7,13,9.125000000000002,"(14.475, 23.6)",10,9,-0.89,0.187,-0.03
SGF29,27.472388059701498,20.88757298592741,20.850000000000005,cluster0,27.6,21,20.6,"(14.875, 35.475)",358,194,0.14,0.444,-0.01
SGF29,27.472388059701498,20.88757298592741,20.850000000000005,cluster1,26.2,16,24.949999999999996,"(12.9, 37.849999999999994)",44,37,-0.4,0.345,0.09
ZNF541,27.527840909090912,21.424912296885502,19.9,cluster0,17.2,24,16.799999999999997,"(5.4, 22.2)",175,64,-6.39,0.0,-0.89
ZNF541,27.527840909090912,21.424912296885502,19.9,cluster1,31.0,19,18.6,"(19.0, 37.6)",529,148,3.68,0.0,0.21
SSH2,27.445317725752513,20.769733409516714,20.599999999999998,cluster0,23.0,14,13.8,"(14.2, 28.0)",423,99,-4.41,0.0,-0.19
SSH2,27.445317725752513,20.769733409516714,20.599999999999998,cluster1,23.2,13,24.700000000000003,"(11.5, 36.2)",60,23,-1.59,0.056,0.03
SSH2,27.445317725752513,20.769733409516714,20.599999999999998,cluster2,22.2,10,9.099999999999998,"(16.8, 25.9)",245,61,-3.97,0.0,-0.07
SSH2,27.445317725752513,20.769733409516714,20.599999999999998,cluster3,34.8,28,31.2,"(14.8, 46.0)",468,106,7.64,0.0,0.5
H2AZ1,27.4367088607595,18.54373808270045,20.175,cluster0,27.8,19,19.0,"(17.0, 36.0)",730,199,0.56,0.287,0.0
H2AZ1,27.4367088607595,18.54373808270045,20.175,cluster1,22.8,17,26.0,"(8.0, 34.0)",60,26,-1.96,0.025,-0.54
CUL3,27.50598360655738,21.104642607878688,20.599999999999998,cluster0,28.2,22,21.574999999999996,"(15.225, 36.8)",962,201,1.0,0.158,0.01
CUL3,27.50598360655738,21.104642607878688,20.599999999999998,cluster1,25.0,19,17.0,"(13.0, 30.0)",258,94,-1.94,0.026,-0.08
MKRN1,26.320998719590264,17.859336412138738,20.799999999999997,cluster0,26.3,19,15.2,"(15.100000000000001, 30.3)",131,81,-0.02,0.492,0.01
MKRN1,26.320998719590264,17.859336412138738,20.799999999999997,cluster1,26.3,18,21.550000000000004,"(14.1, 35.650000000000006)",650,192,0.01,0.497,0.0
TRIP4,27.433665835411475,21.221907674962758,20.6,cluster0,27.8,21,21.025,"(15.025, 36.05)",332,180,0.32,0.376,0.01
TRIP4,27.433665835411475,21.221907674962758,20.6,cluster1,25.7,20,16.8,"(13.5, 30.3)",69,59,-0.69,0.244,-0.16
MBD3L3,33.99487870619946,15.774969106854538,23.0,cluster0,34.8,16,22.549999999999997,"(22.225, 44.775)",230,105,0.75,0.225,0.11
MBD3L3,33.99487870619946,15.774969106854538,23.0,cluster1,55.0,0,0.0,"(55.0, 55.0)",23,1,6.39,0.0,1.74
MBD3L3,33.99487870619946,15.774969106854538,23.0,cluster2,28.4,12,16.574999999999992,"(18.650000000000002, 35.224999999999994)",118,64,-3.87,0.0,-0.2
DHX9,27.533915211970076,21.15352966621515,20.499999999999996,cluster0,28.5,21,20.099999999999998,"(16.7, 36.8)",345,188,0.84,0.201,0.05
DHX9,27.533915211970076,21.15352966621515,20.499999999999996,cluster1,21.7,18,19.099999999999998,"(9.825, 28.924999999999997)",56,49,-2.08,0.019,-0.37
TFAP2E,26.59281045751634,18.317069807960404,21.975,cluster0,29.0,21,25.85,"(13.75, 39.6)",195,127,1.81,0.035,0.24
TFAP2E,26.59281045751634,18.317069807960404,21.975,cluster1,20.7,14,12.0,"(13.0, 25.0)",13,12,-1.15,0.125,-0.27
TFAP2E,26.59281045751634,18.317069807960404,21.975,cluster2,22.2,10,9.5,"(16.575, 26.075)",80,57,-2.12,0.017,-0.15
TFAP2E,26.59281045751634,18.317069807960404,21.975,cluster3,24.4,14,10.899999999999999,"(17.1, 28.0)",18,14,-0.5,0.309,-0.01
POLR2L,27.609118541033432,21.709947060061882,21.9,cluster0,27.0,13,15.274999999999995,"(18.650000000000002, 33.925)",106,67,-0.27,0.395,0.2
POLR2L,27.609118541033432,21.709947060061882,21.9,cluster1,38.1,31,27.9,"(19.85, 47.75)",90,70,4.57,0.0,0.35
POLR2L,27.609118541033432,21.709947060061882,21.9,cluster2,18.7,14,16.45,"(6.550000000000001, 23.0)",20,17,-1.83,0.034,-0.39
POLR2L,27.609118541033432,21.709947060061882,21.9,cluster3,29.4,11,18.125,"(19.875, 38.0)",40,32,0.53,0.297,0.28
POLR2L,27.609118541033432,21.709947060061882,21.9,cluster4,17.0,17,17.700000000000003,"(4.9, 22.6)",73,51,-4.19,0.0,-0.86
IRF9,27.57468030690537,18.998798544261103,19.6,cluster0,29.9,18,19.3,"(18.3, 37.6)",421,177,2.49,0.006,0.23
IRF9,27.57468030690537,18.998798544261103,19.6,cluster1,24.9,20,19.0,"(12.0, 31.0)",361,177,-2.69,0.004,-0.18
ZNF615,33.12982585234241,18.28495921312501,18.3,cluster0,32.2,16,16.7,"(22.3, 39.0)",2493,152,-2.43,0.007,0.0
ZNF615,33.12982585234241,18.28495921312501,18.3,cluster1,33.8,22,20.0,"(20.4, 40.4)",1530,154,1.45,0.073,0.0
ZNF615,33.12982585234241,18.28495921312501,18.3,cluster2,55.0,0,0.0,"(55.0, 55.0)",54,1,8.79,0.0,1.78
HMGXB3,27.404083333333336,20.80381355248092,20.199999999999996,cluster0,27.8,21,20.75,"(15.15, 35.9)",1106,204,0.68,0.248,0.01
HMGXB3,27.404083333333336,20.80381355248092,20.199999999999996,cluster1,22.4,15,16.375,"(13.625, 30.0)",94,46,-2.33,0.01,-0.28
HEYL,27.413659793814432,20.922962377425105,20.624999999999996,cluster0,26.7,18,20.124999999999993,"(15.1, 35.224999999999994)",338,187,-0.64,0.261,-0.01
HEYL,27.413659793814432,20.922962377425105,20.624999999999996,cluster1,32.3,34,23.449999999999996,"(13.0, 36.449999999999996)",50,42,1.67,0.048,0.12
POU6F2,27.256774193548388,21.18129369272327,21.299999999999997,cluster0,26.7,19,21.975,"(14.0, 35.975)",626,178,-0.62,0.269,0.0
POU6F2,27.256774193548388,21.18129369272327,21.299999999999997,cluster1,29.5,28,16.2,"(17.3, 33.5)",149,59,1.26,0.103,-0.05
ZBTB8B,28.184084880636608,21.44135203170972,19.800000000000004,cluster0,30.5,27,23.275,"(15.1, 38.375)",160,109,1.38,0.084,-0.02
ZBTB8B,28.184084880636608,21.44135203170972,19.800000000000004,cluster1,31.2,16,17.85,"(20.6, 38.45)",107,73,1.43,0.076,0.4
ZBTB8B,28.184084880636608,21.44135203170972,19.800000000000004,cluster2,21.9,14,17.875,"(12.125, 30.0)",110,74,-3.07,0.001,-0.29
TCF23,27.334912718204485,20.769009333214594,20.299999999999997,cluster0,16.5,13,16.450000000000003,"(5.9, 22.35)",119,81,-5.7,0.0,-0.58
TCF23,27.334912718204485,20.769009333214594,20.299999999999997,cluster1,31.9,22,20.0,"(19.0, 39.0)",282,156,3.7,0.0,0.23
TRIM68,29.12565597667639,21.460064899776963,19.799999999999997,cluster0,60.1,36,33.0,"(40.0, 73.0)",41,29,9.26,0.0,1.81
TRIM68,29.12565597667639,21.460064899776963,19.799999999999997,cluster1,25.8,19,29.299999999999997,"(8.625, 37.925)",108,80,-1.59,0.056,-0.18
TRIM68,29.12565597667639,21.460064899776963,19.799999999999997,cluster2,20.9,16,24.5,"(5.5, 30.0)",17,13,-1.59,0.056,-0.44
TRIM68,29.12565597667639,21.460064899776963,19.799999999999997,cluster3,23.2,7,7.699999999999999,"(19.3, 27.0)",67,47,-2.27,0.012,-0.11
TRIM68,29.12565597667639,21.460064899776963,19.799999999999997,cluster4,25.7,11,13.400000000000002,"(17.549999999999997, 30.95)",110,71,-1.68,0.047,0.02
ZNF446,27.657175925925927,20.966103748108694,20.525,cluster0,34.0,13,15.75,"(25.0, 40.75)",399,89,6.08,0.0,0.53
ZNF446,27.657175925925927,20.966103748108694,20.525,cluster1,12.1,9,11.850000000000001,"(5.45, 17.3)",319,81,-13.25,0.0,-1.0
