order,family,genus,species,max lifespan
Prototheria,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus_anatinus,22.6
Prototheria,Tachyglossidae,Tachyglossus,Tachyglossus_aculeatus,49.5
Suina,,,Babyrousa_celebensis,Unknown
Suina,Suidae,Sus,Sus_scrofa,27.0
Suina,Tayassuidae,Catagonus,Catagonus_wagneri,Unknown
Afrotheria,Orycteropodidae,Orycteropus,Orycteropus_afer,29.8
Afrotheria,Tenrecidae,Microgale,Microgale_talazaci,5.8
Afrotheria,Macroscelididae,Elephantulus,Elephantulus_edwardii,Unknown
Afrotheria,Trichechidae,Trichechus,Trichechus_manatus,69.0
Afrotheria,Dugongidae,Dugong,Dugong_dugon,73.0
Afrotheria,,,Hydrodamalis_gigas,Unknown
Afrotheria,Tenrecidae,Echinops,Echinops_telfairi,19.0
Afrotheria,Procaviidae,Heterohyrax,Heterohyrax_brucei,Unknown
Afrotheria,Elephantidae,Loxodonta,Loxodonta_africana,65.0
Afrotheria,Procaviidae,Procavia,Procavia_capensis,14.8
Afrotheria,,,Chrysochloris_asiatica,Unknown
Afrotheria,Elephantidae,Elephas,Elephas_maximus,79.6
Lagomorpha,Leporidae,Lepus,Lepus_timidus,18.0
Lagomorpha,Leporidae,Lepus,Lepus_americanus,5.0
Lagomorpha,Leporidae,Oryctolagus,Oryctolagus_cuniculus,13.0
Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_bachmani,Unknown
Lagomorpha,Ochotonidae,Ochotona,Ochotona_princeps,7.0
Rodentia,Gliridae,Eliomys,Eliomys_quercinus,5.5
Rodentia,Cricetidae,Microtus,Microtus_ochrogaster,5.3
Rodentia,Gliridae,Glis,Glis_glis,8.7
Rodentia,,,Mus_pahari,Unknown
Rodentia,Sciuridae,Ictidomys,Ictidomys_tridecemlineatus,7.9
Rodentia,Sciuridae,Marmota,Marmota_monax,14.0
Rodentia,,,Marmota_himalayana,Unknown
Rodentia,Sciuridae,Sciurus,Sciurus_carolinensis,23.6
Rodentia,Gliridae,Graphiurus,Graphiurus_murinus,6.9
Rodentia,Dipodidae,Zapus,Zapus_hudsonius,5.6
Rodentia,Cricetidae,Peromyscus,Peromyscus_californicus,5.5
Rodentia,Ctenodactylidae,Ctenodactylus,Ctenodactylus_gundi,5.8
Rodentia,Cricetidae,Neotoma,Neotoma_lepida,10.5
Rodentia,Hystricidae,Hystrix,Hystrix_cristata,28.0
