Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	contig N50 (bp)	scaffold N50 (bp)
Acinonyx jubatus	cheetah	32536	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Acinonychinae; Acinonyx	HLaciJub2	GCF_003709585.1	179924	48500042
Acomys cahirinus	Egyptian spiny mouse	10068	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	HLacoCah1	GCA_004027535.1	42476	65411
Acomys cahirinus	Egyptian spiny mouse	10068	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	HLacoCah2	https://zenodo.org/record/7761277#.ZEKxiRVBwsw	57643754	127770522
Acomys dimidiatus	-	60744	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	HLacoDim1	GCA_907164435.1	33040	124365287
Acomys russatus	golden spiny mouse	60746	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys	HLacoRus1	GCA_903995435.1	4450755	66475698
Aeorestes cinereus	hoary bat	257879	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Aeorestes	HLaeoCin1	GCA_011751065.1	120638	35075546
Aepyceros melampus	impala	9897	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Aepycerotinae; Aepyceros	HLaepMel1	GCA_006408695.1	82459	344542
Ailuropoda melanoleuca	giant panda	9646	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ailuropoda	HLailMel2	GCA_002007445.2	127363	129245720
Ailurus fulgens	lesser panda	9649	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ailuridae; Ailurus	HLailFul2	DNA Zoo Consortium	97931	143796361
Alces alces	Eurasian elk	9852	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Alces	HLalcAlc1	GCA_007570765.1	45090	4131188
Allactaga bullata	Gobi jerboa	1041416	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Allactaginae; Allactaga	HLallBul1	GCA_004027895.1	30651	36308
Allenopithecus nigroviridis	Allen's swamp monkey	54135	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Allenopithecus	HLallNig1	DNA Zoo Consortium	47878	115073448
Alouatta palliata	mantled howler monkey	30589	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta	HLaloPal1	GCA_004027835.1	51304	72427
Ammotragus lervia	aoudad	9899	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ammotragus	HLammLer1	GCA_002201775.1	52017	1301762
Anoura caudifer	tailed tailless bat	27642	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Glossophaginae; Anoura	HLanoCau1	GCA_004027475.1	143417	185021
Antechinus flavipes	yellow-footed antechinus	38775	Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Antechinus	HLantFla1	GCA_016432865.1	51843704	636717922
Antidorcas marsupialis	springbok	59523	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Antidorcas	HLantMar1	GCA_006408585.1	42749	694905
Antilocapra americana	pronghorn	9891	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Antilocapridae; Antilocapra	HLantAme1	GCA_007570785.1	220431	18739554
