Gene_symbol	Gene_Name	Synonyms	Human_entrez	Mouse_entrez	Rat_entrez
A430033K04Rik	-	-		243308	304336
AASS	"Alpha-aminoadipic semialdehyde synthase, mitochondrial "	"LORSDH LKRSDH"	10157		
AATF	"Protein AATF "	"DED CHE-1 CHE1 BFR2"	26574	56321	114512
ABL1	"Tyrosine-protein kinase ABL1 "	"JTK7 c-ABL p150"	25	11350	100909750
ABRA	"Actin-binding Rho-activating protein "	STARS	137735	223513	286965
ABT1	"Activator of basal transcription 1 "	Esf2	29777	30946	306960
ACTB	"Actin, cytoplasmic 1 "	-	60	11461	81822
ACTL6A	"Actin-like protein 6A "	"Actl6 BAF53A Arp4 Baf53a INO80K SMARCN1"	86	56456	361925
ACTL6B	"Actin-like protein 6B "	"BAF53B SMARCN2"	51412	56456	361925
ACTN1	"Alpha-actinin-1 "	-	87	109711	81634
ACTN2	"Alpha-actinin-2 "	-	88	11472	291245
ACTN4	"Alpha-actinin-4 "	-	81	109711	81634
ACTR5	"Actin-related protein 5 "	"FLJ12785 Arp5 INO80M"	79913	109275	362258
ACTR6	"Actin-related protein 6 "	"ARP6 FLJ13433"	64431	67019	314718
ACTR8	"Actin-related protein 8 "	"INO80N ARP8"	93973	56249	361107
ADAMTS17	"A disintegrin and metalloproteinase with thrombospondin motifs 17 "	"FLJ32769 FLJ16363"	170691		
ADAMTS19	"A disintegrin and metalloproteinase with thrombospondin motifs 19 "	-	171019		
ADAR	"Double-stranded RNA-specific adenosine deaminase "	"ADAR1 DRADA"	103		
ADGRA1	"Adhesion G protein-coupled receptor A1 "	KIAA1828	84435		
ADNP	"Activity-dependent neuroprotector homeobox protein "	"KIAA0784 ADNP1"	23394	11538	64622
ADNP2	"Activity-dependent neuroprotector homeobox protein 2 "	KIAA0863	22850	240442	307236
ADRB2	"Beta-2 adrenergic receptor "	"ADRBR BAR B2AR"	154	11555	24176
AEBP1	"Adipocyte enhancer-binding protein 1 "	ACLP	165	11568	305494
AEBP2	"Zinc finger protein AEBP2 "	MGC17922	121536	11569	297705
AFDN	"Afadin "	"AF-6 AF6"	4301	17356	
AFF1	"AF4/FMR2 family member 1 "	"AF-4 AF4 FEL"	4299	17355	305152
AFF2	"AF4/FMR2 family member 2 "	FRAXE	2334	14266	103690302
AFF3	"AF4/FMR2 family member 3 "	MLLT2-like	3899	16764	363220
AFF4	"AF4/FMR2 family member 4 "	"AF5Q31 MCEF"	27125	93736	303132
AGAP2	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 "	-	116986	216439	65218
AGO1	"Protein argonaute-1 "	hAGO1	26523	236511	313594
