gene type,max seq len,min seq len,mean seq len,median seq len,wmc similarity score,species represented
E2F2,1374,1308,1327.7519379844962,1323,0.23965,418
ARID4B,4131,3669,3819.1804511278197,3900.0,0.23728,418
NFKBIE,1626,1083,1295.0185430463575,1101,0.13879,415
MAZ,1557,1350,1432.1631982475355,1437,0.19895,334
PID1,921,648,718.5225375626044,744.0,0.1532,436
TADA1,1008,1002,1004.9925742574258,1005.0,0.34249,438
PLEK2,1107,1059,1060.1629629629629,1059,0.30151,435
HMOX1,945,747,814.4066073697586,861,0.26608,430
ZNF474,1155,1086,1096.56,1092.0,0.27928,429
TAF1L,5553,5478,5486.625,5484.0,0.0,23
RNF4,585,558,571.3196930946292,570,0.29325,421
KLHL6,1878,1848,1863.323076923077,1863.0,0.31274,417
KAT5,1662,1380,1511.085252022402,1533,0.20052,435
MSANTD3,831,822,825,825,0.35127,411
EAF2,846,780,794.0191518467852,792,0.2452,401
ZNF773,1746,1317,1375.9920341394024,1365.0,0.07266,418
TACC1,2505,1182,1854.4394273127753,1833.0,0.11159,445
NUP98,5475,5157,5344.0616153205665,5400,0.24984,432
DDX5,1890,1605,1766.6411960132891,1842.0,0.26911,439
TERF1,1431,1101,1237.3269513991163,1260,0.22274,411
TOP1MT,1881,1503,1649.7881040892194,1515,0.18851,155
ZFP36L2,1617,1467,1495.9478260869564,1488,0.22145,380
ZNF706,288,222,228.44204322200392,228,0.271,440
THAP10,846,759,777.0359281437126,771,0.26785,165
ZYX,1902,1242,1497.4532650448143,1413,0.13798,424
SKOR2,3405,882,1837.0859728506787,906,0.23521,410
ZNF799,2190,1806,1903.132284921369,1926.0,0.09942,321
GABPB1,1251,951,1078.103518821604,1080.0,0.25328,431
RIPPLY1,534,450,460.283378746594,456,0.2536,394
PRR12,6375,3633,4827.804276315789,3781.5,0.16668,353
NELFA,1677,1584,1612.7025862068965,1617.0,0.18163,385
LARP7,1872,1740,1763.212311557789,1767.0,0.17944,427
CERS2,1188,1119,1140.2591240875913,1140.0,0.26933,443
KPNA6,1671,1605,1608.6408450704225,1608.0,0.33048,438
ZNF628,3564,3129,3216.235401459854,3204.0,0.14604,325
ZFP2,1605,1374,1400.4774951076322,1392.0,0.11379,413
TCF12,2163,2037,2082.186567164179,2100.0,0.31158,437
NR1D2,1761,1728,1737.8010075566751,1737,0.31811,433
FIGLA,717,648,659.6535211267606,657,0.2708,382
CLU,1413,1341,1350.022670025189,1347,0.26342,413
ZBED4,4377,3513,3525.8345070422533,3525.0,0.1812,307
PRDM8,2469,2067,2100.3840830449826,2088,0.18811,328
NCOA7,2856,648,1980.3430717863105,2484.0,0.19812,447
ADGRA1,3936,1371,1594.11441307578,1680,0.0783,368
ZFP69,1755,1572,1600.1356589147288,1587.0,0.15731,403
NFIX,1557,1206,1377.70393240169,1323,0.15992,433
TRRAP,11721,11466,11561.276391554702,11574,0.18355,425
IFRD1,1371,1200,1278.5116564417178,1350,0.25357,435
SP100,2820,2634,2674.355769230769,2670.0,0.15036,315
ZNF705A,1092,891,921.4450438300742,906,0.16147,365
ZNF197,3234,3078,3094.293103448276,3087.0,0.26093,360
GCM1,1368,1305,1310.2366412213742,1308,0.29061,414
CUL4A,2334,1965,2087.781864841745,2001,0.17124,427
POLR3GL,693,582,619.98,637.5,0.28694,433
ZNF98,2043,1701,1739.0119976004798,1722,0.14594,222
THAP8,918,813,827.7567567567568,825,0.23804,271
CSDE1,2580,2001,2334.8224390243904,2394.0,0.16727,444
HLA-DQB2,915,678,772.2769516728624,798.0,0.17796,266
RC3H2,3618,3186,3386.199510403917,3237,0.33714,441
ZNF771,1119,948,958.3293838862559,951.0,0.24862,396
ZNF704,1290,1230,1242.1402597402598,1239,0.27797,414
THAP12,2466,2085,2190.2757527733756,2280,0.19722,346
CAVIN1,1221,1164,1172.1190476190477,1170.0,0.27398,403
JMJD6,1278,1173,1213.6814814814816,1209,0.31736,437
BTAF1,5631,5526,5559.328358208955,5547.0,0.27855,435
NFIL3,1542,1380,1387.8805970149253,1386.0,0.26354,433
SP9,1713,1443,1457.759643916914,1452,0.29384,375
SLC26A3,2346,2283,2299.9830508474574,2298,0.22273,440
ZBTB7B,1890,1617,1680.0040760869565,1717.5,0.14043,402
USP39,1728,1380,1524.2245417515276,1464.0,0.22328,431
MSL3,1599,1245,1447.7893639207507,1530.0,0.20132,427
MAX,504,357,411.6325509811466,402,0.21798,451
ZNF880,1989,1716,1757.9284199363733,1746.0,0.09879,332
TADA3,1314,1101,1232.0273631840796,1296.0,0.34058,437
C1QBP,867,843,847.2280701754386,846.0,0.28202,382
BMP2,1206,1185,1188.203007518797,1188,0.33222,423
ANAPC2,2514,2460,2471.744845360825,2466.0,0.22645,420
NUDT5,729,534,623.5145105755042,657,0.2519,441
MSANTD1,924,789,831.3930481283422,834.0,0.18063,412
ATF2,1557,1338,1439.530090684254,1461,0.20753,434
