gene,avg cluster stat sig,most stat sig cluster,least stat sig cluster,avg # species per cluster
PFN1,0.30566666666666664,0.1239,0.4743,76.33333333333333
ZNF804A,0.39337500000000003,0.3245,0.4327,64.75
IRAK3,0.44249999999999995,0.3398,0.4945,68.5
INO80B,0.41873333333333335,0.3071,0.4774,83.33333333333333
SIVA1,0.3983,0.2903,0.4824,72.25
DACH1,0.4237666666666667,0.3487,0.4758,72.0
ZNF100,0.31845,0.0395,0.5,104.75
CBY1,0.42805,0.4195,0.4366,184.5
ZC3H11A,0.38375000000000004,0.2818,0.4857,116.5
HINFP,0.386425,0.3143,0.4973,79.5
ANKZF1,0.35469999999999996,0.2707,0.491,63.5
ZNF254,0.3405,0.0305,0.5,86.33333333333333
NFAT5,0.4025666666666667,0.3602,0.4507,88.0
MAPK7,0.4154,0.397,0.4338,116.5
MTF1,0.36382000000000003,0.1534,0.4973,57.8
CXXC4,0.41726,0.2933,0.5,43.0
SGF29,0.48035,0.4634,0.4973,115.5
ZNF541,0.30245,0.1876,0.4173,106.0
SSH2,0.42390000000000005,0.3077,0.489,72.25
H2AZ1,0.39715,0.2943,0.5,112.5
CUL3,0.4822,0.4671,0.4973,147.5
MKRN1,0.49865000000000004,0.4973,0.5,136.5
TRIP4,0.4675,0.4377,0.4973,119.5
MBD3L3,0.40396666666666664,0.3383,0.4778,61.666666666666664
DHX9,0.41859999999999997,0.3564,0.4808,118.5
TFAP2E,0.435075,0.3692,0.476,55.75
POLR2L,0.32389999999999997,0.1649,0.4304,47.6
IRF9,0.4173,0.4073,0.4273,177.0
ZNF615,0.4979,0.4958,0.5,153.0
HMGXB3,0.43520000000000003,0.387,0.4643,142.33333333333334
HEYL,0.47515,0.453,0.4973,114.5
POU6F2,0.48924999999999996,0.4785,0.5,118.5
ZBTB8B,0.32714,0.2613,0.4056,53.0
TCF23,0.34485,0.2813,0.4084,118.5
TRIM68,0.3479,0.0351,0.4929,48.0
ZNF446,0.3256,0.1583,0.4539,99.75
YLPM1,0.4757,0.4543,0.4971,116.5
RBBP8,0.45536666666666664,0.4198,0.5,91.66666666666667
FOXD2,0.3758,0.1558,0.5,46.8
RELA,0.4659,0.443,0.4888,145.0
ZNF821,0.419725,0.3102,0.4888,92.0
SIRT5,0.4427,0.4128,0.4726,180.0
DBP,0.3978333333333333,0.3053,0.478,123.66666666666667
CEBPG,0.36075999999999997,0.2859,0.4674,58.6
RPTOR,0.49460000000000004,0.4892,0.5,126.5
HDAC3,0.44599999999999995,0.4317,0.4603,125.5
PYCARD,0.364625,0.3387,0.3956,81.75
DUXA,0.36684999999999995,0.2143,0.4534,52.25
TGIF1,0.5,0.5,0.5,177.5
DMRTC2,0.4534,0.419,0.4878,127.5
ZSCAN1,0.29485,0.215,0.3747,38.5
TBL1XR1,0.47265,0.4453,0.5,115.5
CIDEA,0.4927,0.4854,0.5,111.5
DYRK1B,0.46385,0.4277,0.5,115.5
GTF2H4,0.41795,0.3413,0.4946,115.0
ETV2,0.43205000000000005,0.3345,0.484,170.75
ZNF502,0.4842,0.4747,0.4937,134.5
HOXD13,0.3174,0.1607,0.4731,76.0
DMBX1,0.31378000000000006,0.1223,0.4156,55.0
IRX5,0.3827333333333333,0.35,0.4034,77.33333333333333
SSBP2,0.4407,0.3807,0.4946,67.75
ESRRB,0.4578333333333333,0.3968,0.4973,146.33333333333334
CHEK2,0.4229,0.3915,0.4644,146.33333333333334
CTDSP1,0.44255,0.4398,0.4453,183.0
ZNF648,0.39437999999999995,0.2108,0.4857,82.6
SMARCA4,0.48385,0.4677,0.5,131.0
ZNF28,0.4883,0.4854,0.4912,154.5
MYBBP1A,0.343325,0.1599,0.4973,67.75
AURKB,0.40335,0.3428,0.4544,126.75
ZNF143,0.47314999999999996,0.4463,0.5,117.0
TAF1D,0.32615,0.2586,0.3937,118.0
LYL1,0.2984,0.2121,0.3847,109.5
ZNF780B,0.40698000000000006,0.2708,0.4616,87.4
MAP2K5,0.4718,0.4463,0.4973,126.0
RHOXF2B,0.3277,0.2091,0.4463,69.0
